[-74.0, 166.4, 112.1, -169.62, -1.46, -136.32]
[152.8, 161.5, 257.4, 155.74, -0.16, 153.17]
[162.7, 147.8, 268.7, 152.57, -0.15, 149.05]
[104.3, -56.8, 392.1, 107.92, -0.05, 93.77]
[93.0, -61.6, 395.3, 105.99, -0.04, 91.13]
[65.7, -62.2, 406.9, 96.24, -0.01, 91.05]
[59.3, -62.3, 408.6, 94.57, -0.01, 91.05]
[49.0, -63.1, 411.6, 91.23, 0.0, 90.35]
[42.3, -63.1, 412.7, 89.82, 0.0, 90.35]
[73.6, 125.9, 131.1, 164.49, 9.4, 176.26]
